City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
136,Albanel,CA,2022-06-09 02:15:06,48.8832,-72.4487,51.78,93,43,1.14,scattered clouds,0.0,0.0
137,Sao Miguel Do Araguaia,BR,2022-06-09 02:15:06,-13.275,-50.1628,73.67,40,1,2.53,clear sky,0.0,0.0
138,Yulara,AU,2022-06-09 02:15:06,-25.2406,130.9889,55.6,48,8,14.05,clear sky,0.0,0.0
139,Troitsko-Pechorsk,RU,2022-06-09 02:15:07,62.7084,56.1964,57.51,50,100,4.61,overcast clouds,0.0,0.0
140,Kodiak,US,2022-06-09 02:15:07,57.79,-152.4072,60.31,59,20,8.05,few clouds,0.0,0.0
141,Constitucion,CL,2022-06-09 02:15:08,-35.3333,-72.4167,50.43,85,58,6.82,broken clouds,0.0,0.0
142,Palu,ID,2022-06-09 02:15:08,-0.8917,119.8707,85.08,71,96,1.19,overcast clouds,0.0,0.0
143,The Valley,AI,2022-06-09 02:15:09,18.217,-63.0578,81.82,76,90,14.0,overcast clouds,0.0,0.0
144,Ponta Do Sol,PT,2022-06-09 02:15:09,32.6667,-17.1,70.43,83,8,3.15,clear sky,0.0,0.0
145,Maraba,BR,2022-06-09 02:15:09,-5.3686,-49.1178,77.18,100,0,5.75,clear sky,0.0,0.0
146,Atlantic City,US,2022-06-09 02:15:10,39.3643,-74.4229,73.58,87,0,11.5,clear sky,0.0,0.0
147,Nioro,GM,2022-06-09 02:15:10,13.35,-15.75,81.5,72,100,9.57,overcast clouds,0.0,0.0
148,Cidreira,BR,2022-06-09 02:15:11,-30.1811,-50.2056,62.55,87,8,11.07,clear sky,0.0,0.0
149,Eyl,SO,2022-06-09 02:15:11,7.9803,49.8164,82.65,57,92,21.18,overcast clouds,0.0,0.0
150,Georgetown,MY,2022-06-09 02:12:59,5.4112,100.3354,85.95,79,20,2.3,few clouds,0.0,0.0
151,Digha,IN,2022-06-09 02:15:12,21.6833,87.55,87.58,77,99,15.32,overcast clouds,0.0,0.0
152,Hilo,US,2022-06-09 02:15:12,19.7297,-155.09,84.27,67,20,10.36,few clouds,0.0,0.0
153,Newburn,GB,2022-06-09 02:15:14,54.9876,-1.7442,54.09,89,75,8.05,broken clouds,0.0,0.0
154,Bethel,US,2022-06-09 02:14:42,41.3712,-73.414,70.48,78,0,3.44,clear sky,0.0,0.0
155,Chokurdakh,RU,2022-06-09 02:15:15,70.6333,147.9167,52.07,51,55,11.25,broken clouds,0.0,0.0
156,Uyuni,BO,2022-06-09 02:15:15,-20.4597,-66.825,32.41,33,0,8.46,clear sky,0.0,0.0
157,Niimi,JP,2022-06-09 02:15:15,34.9833,133.4667,77.4,48,10,4.65,clear sky,0.0,0.0
158,Lavrentiya,RU,2022-06-09 02:12:19,65.5833,-171.0,42.62,56,0,5.06,clear sky,0.0,0.0
159,Baiyin,CN,2022-06-09 02:15:16,36.5583,104.2081,72.68,29,100,13.35,light rain,0.0,0.0
160,Banda Aceh,ID,2022-06-09 02:15:16,5.5577,95.3222,83.5,74,100,7.31,overcast clouds,0.0,0.0
161,Oktyabrskiy,RU,2022-06-09 02:15:17,54.4815,53.471,51.24,97,100,10.29,overcast clouds,0.0,0.0
162,Ceres,US,2022-06-09 02:15:17,37.5949,-120.9577,86.79,33,0,17.27,clear sky,0.0,0.0
163,Sitka,US,2022-06-09 02:15:18,57.0531,-135.33,62.49,48,100,11.5,light rain,0.0,0.0
164,Port Hedland,AU,2022-06-09 02:15:17,-20.3167,118.5667,75.25,41,100,18.41,overcast clouds,0.0,0.0
165,Vao,NC,2022-06-09 02:15:18,-22.6667,167.4833,69.64,77,99,12.86,light rain,0.0,0.0
166,Fortuna,US,2022-06-09 02:10:55,40.5982,-124.1573,57.85,93,75,13.8,broken clouds,0.0,0.0
167,Mehamn,NO,2022-06-09 02:15:19,71.0357,27.8492,44.51,83,19,22.55,few clouds,0.0,0.0
168,Sfantu Gheorghe,RO,2022-06-09 02:12:23,45.8667,25.7833,57.27,85,11,3.22,few clouds,0.0,0.0
169,Nagornskiy,RU,2022-06-09 02:15:19,58.7731,57.5451,50.79,91,100,7.02,overcast clouds,0.0,0.0
170,Luderitz,NA,2022-06-09 02:15:20,-26.6481,15.1594,63.18,41,1,6.49,clear sky,0.0,0.0
171,Nishihara,JP,2022-06-09 02:15:20,26.1842,127.7558,72.68,91,100,9.22,light intensity shower rain,0.0,0.0
172,Upata,VE,2022-06-09 02:15:21,8.0086,-62.3989,69.19,97,35,3.62,scattered clouds,0.0,0.0
173,Ghaziabad,IN,2022-06-09 02:15:21,28.6667,77.4333,93.34,18,23,1.97,few clouds,0.0,0.0
174,Grimshaw,CA,2022-06-09 02:15:21,56.1834,-117.6027,58.62,72,100,4.61,moderate rain,0.0,0.0
175,Jiuquan,CN,2022-06-09 02:15:22,39.7432,98.5174,74.64,13,0,3.18,clear sky,0.0,0.0
176,Greenwood,US,2022-06-09 02:15:22,34.1668,-82.1165,79.29,73,0,11.5,clear sky,0.0,0.0
177,Bouna,CI,2022-06-09 02:15:23,9.2667,-3.0,74.97,76,7,4.9,clear sky,0.0,0.0
178,Skjervoy,NO,2022-06-09 02:15:23,70.0311,20.9714,44.6,81,97,8.5,overcast clouds,0.0,0.0
179,Nouadhibou,MR,2022-06-09 02:15:23,20.931,-17.0347,66.72,87,99,11.68,overcast clouds,0.0,0.0
180,Biloela,AU,2022-06-09 02:15:24,-24.4167,150.5,61.34,30,3,12.82,clear sky,0.0,0.0
181,Floro,NO,2022-06-09 02:15:24,61.5996,5.0328,51.76,100,100,5.75,overcast clouds,0.0,0.0
182,Port Lincoln,AU,2022-06-09 02:15:25,-34.7333,135.8667,55.8,69,100,12.15,overcast clouds,0.0,0.0
183,Zhigalovo,RU,2022-06-09 02:12:12,54.8097,105.1578,54.57,59,100,4.43,overcast clouds,0.0,0.0
184,Porto Walter,BR,2022-06-09 02:15:25,-8.2686,-72.7439,71.44,99,59,1.01,broken clouds,0.0,0.0
185,Hofn,IS,2022-06-09 02:15:26,64.2539,-15.2082,47.3,78,76,7.78,broken clouds,0.0,0.0
186,Taseyevo,RU,2022-06-09 02:15:26,57.2169,94.8978,54.3,67,40,3.83,scattered clouds,0.0,0.0
187,Jining,CN,2022-06-09 02:15:27,35.405,116.5814,82.99,1,100,13.78,overcast clouds,0.0,0.0
188,Nebyliv,UA,2022-06-09 02:15:27,48.8153,24.2166,56.8,90,23,4.38,few clouds,0.0,0.0
189,Formosa,AR,2022-06-09 02:15:28,-26.1775,-58.1781,59.05,97,60,5.1,broken clouds,0.0,0.0
190,Kambove,CD,2022-06-09 02:15:28,-10.8764,26.5969,47.68,95,2,5.19,clear sky,0.0,0.0
191,Gualeguay,AR,2022-06-09 02:15:28,-33.1416,-59.3097,51.08,89,73,6.33,broken clouds,0.0,0.0
192,Comodoro Rivadavia,AR,2022-06-09 02:15:02,-45.8667,-67.5,42.66,49,0,14.97,clear sky,0.0,0.0
193,Laguna,US,2022-06-09 02:15:29,38.421,-121.4238,91.45,46,0,13.8,clear sky,0.0,0.0
194,Cabo San Lucas,MX,2022-06-09 02:15:29,22.8909,-109.9124,81.7,55,0,9.22,clear sky,0.0,0.0
195,Torbay,CA,2022-06-09 02:13:03,47.6666,-52.7314,38.39,86,100,4.25,overcast clouds,0.0,0.0
196,Atar,MR,2022-06-09 02:15:30,20.5169,-13.0499,89.02,25,13,9.28,few clouds,0.0,0.0
197,Vestmanna,FO,2022-06-09 02:15:30,62.1564,-7.1664,45.52,66,75,3.44,broken clouds,0.0,0.0
198,Portland,US,2022-06-09 02:15:06,45.5234,-122.6762,75.13,43,75,5.75,broken clouds,0.0,0.0
199,Dinguiraye,GN,2022-06-09 02:15:31,11.3,-10.7167,76.53,67,99,4.27,overcast clouds,0.0,0.0
