City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
164,Zeya,RU,2022-06-07 01:43:13,53.75,127.2667,82.33,34,14,3.18
165,Paamiut,GL,2022-06-07 01:43:14,61.994,-49.6678,38.12,94,32,3.13
166,El Alto,PE,2022-06-07 01:43:14,-4.2714,-81.2147,63.05,82,12,11.61
167,Port Macquarie,AU,2022-06-07 01:43:14,-31.4333,152.9167,61.9,43,4,8.95
168,East London,ZA,2022-06-07 01:40:07,-33.0153,27.9116,63.61,39,0,5.73
169,Avarua,CK,2022-06-07 01:43:15,-21.2078,-159.775,80.65,78,40,11.5
170,Mahebourg,MU,2022-06-07 01:43:15,-20.4081,57.7,71.89,88,40,5.75
171,Zhigansk,RU,2022-06-07 01:43:16,66.7697,123.3711,64.87,60,90,5.82
172,Portadown,GB,2022-06-07 01:43:16,54.4241,-6.4412,55.22,77,100,2.51
173,Kigoma,TZ,2022-06-07 01:43:16,-4.8769,29.6267,70.16,75,7,6.96
174,Pitiquito,MX,2022-06-07 01:43:17,30.7,-112.0833,94.42,21,0,11.25
175,Sorsk,RU,2022-06-07 01:43:17,54.0033,90.2467,44.98,54,100,5.1
176,Port Hedland,AU,2022-06-07 01:43:18,-20.3167,118.5667,73.45,33,8,17.27
177,Tiksi,RU,2022-06-07 01:43:18,71.6872,128.8694,46.26,75,100,5.5
178,Kawalu,ID,2022-06-07 01:43:19,-7.3817,108.2082,78.78,79,94,2.39
179,Texistepec,MX,2022-06-07 01:43:19,17.8833,-94.7833,80.44,63,100,12.33
180,San Patricio,US,2022-06-07 01:43:19,28.017,-97.5169,84.54,79,3,17.94
181,Kulynychi,UA,2022-06-07 01:43:20,49.9823,36.3842,55.96,86,38,4.47
182,Thompson,CA,2022-06-07 01:43:20,55.7435,-97.8558,64.56,24,40,13.8
183,Nata,PA,2022-06-07 01:43:20,8.3333,-80.5167,75.09,90,90,7.25
184,Roma,US,2022-06-07 01:43:21,43.2128,-75.4557,72.82,52,75,8.05
185,Tuatapere,NZ,2022-06-07 01:44:21,-46.1333,167.6833,54.41,73,24,9.33
186,Yulara,AU,2022-06-07 01:44:22,-25.2406,130.9889,56.55,41,0,14.03
187,Emerald,AU,2022-06-07 01:44:22,-23.5333,148.1667,65.34,60,7,7.63
188,Great Yarmouth,GB,2022-06-07 01:44:23,52.6083,1.7305,52.05,86,100,11.79
189,Sibolga,ID,2022-06-07 01:44:23,1.7427,98.7792,81.46,73,95,1.21
190,Lamu,KE,2022-06-07 01:44:23,-2.2717,40.902,79.02,84,93,19.04
191,Sungairaya,ID,2022-06-07 01:44:24,0.7,108.9,84.31,68,68,3.8
192,Namibe,AO,2022-06-07 01:44:24,-15.1961,12.1522,74.37,42,45,6.24
193,Lagoa,PT,2022-06-07 01:44:25,39.05,-27.9833,64.13,96,100,17.58
194,Bambous Virieux,MU,2022-06-07 01:44:25,-20.3428,57.7575,71.85,88,40,5.75
195,Krasnoye,UA,2022-06-07 01:43:59,49.9145,24.6134,54.88,88,82,6.55
196,Kargasok,RU,2022-06-07 01:44:26,59.0556,80.8572,45.25,82,84,7.16
197,Kruisfontein,ZA,2022-06-07 01:44:26,-34.0033,24.7314,55.65,36,3,3.98
198,Coahuayana,MX,2022-06-07 01:44:26,18.7333,-103.6833,78.17,80,98,3.74
199,Kavieng,PG,2022-06-07 01:44:27,-2.5744,150.7967,83.79,73,60,9.51
200,Saldanha,ZA,2022-06-07 01:44:27,-33.0117,17.9442,65.98,40,5,12.55
